title,phase_num,phase,saga,release_date,release_year,worldwide_gross,domestic_gross,international_gross,domestic_share,intl_share,share_of_franchise,share_of_saga,share_of_phase,opening_weekend,production_budget,profit_multiple
Avengers: Endgame,3,Phase 3,Infinity Saga,2019-04-23,2019,2717503922,858373000,1859130922,0.3159,0.6841,0.078,0.1209,0.2026,357115007,400000000,6.79
Spider-Man: Brand New Day,6,Phase 6,Multiverse Saga,2026-07-20,2026,2455783239,939532286,1516250953,0.3826,0.6174,0.0705,0.1988,0.8247,360091572,225000000,10.91
Avengers: Infinity War,3,Phase 3,Infinity Saga,2018-04-25,2018,2048158241,678815482,1369342759,0.3314,0.6686,0.0588,0.0911,0.1527,257698183,300000000,6.83
Spider-Man: No Way Home,4,Phase 4,Multiverse Saga,2021-12-14,2021,1921206586,814811535,1106395051,0.4241,0.5759,0.0552,0.1555,0.3364,260138569,200000000,9.61
The Avengers,1,Phase 1,Infinity Saga,2012-04-25,2012,1515100211,623357910,891742301,0.4114,0.5886,0.0435,0.0674,0.398,207438708,225000000,6.73
Avengers: Age of Ultron,2,Phase 2,Infinity Saga,2015-04-22,2015,1395316979,459005868,936311111,0.329,0.671,0.0401,0.0621,0.2653,191271109,365000000,3.82
Deadpool & Wolverine,5,Phase 5,Multiverse Saga,2024-07-24,2024,1338073645,636745858,701327787,0.4759,0.5241,0.0384,0.1083,0.3653,211435291,200000000,6.69
Black Panther,3,Phase 3,Infinity Saga,2018-02-13,2018,1334157082,700059566,634097516,0.5247,0.4753,0.0383,0.0594,0.0995,202003951,200000000,6.67
Iron Man 3,2,Phase 2,Infinity Saga,2013-04-24,2013,1214630956,408992272,805638684,0.3367,0.6633,0.0349,0.054,0.231,174144585,200000000,6.07
Captain America: Civil War,3,Phase 3,Infinity Saga,2016-04-22,2016,1151899586,408084349,743815237,0.3543,0.6457,0.0331,0.0512,0.0859,179139142,250000000,4.61
Spider-Man: Far From Home,3,Phase 3,Infinity Saga,2019-06-27,2019,1132298674,391362492,740936182,0.3456,0.6544,0.0325,0.0504,0.0844,92579212,160000000,7.08
Captain Marvel,3,Phase 3,Infinity Saga,2019-03-06,2019,1129576094,426829839,702746255,0.3779,0.6221,0.0324,0.0503,0.0842,153433423,175000000,6.45
Doctor Strange in the Multiverse of Madness,4,Phase 4,Multiverse Saga,2022-05-04,2022,955775804,411331607,544444197,0.4304,0.5696,0.0274,0.0774,0.1674,187420998,200000000,4.78
Spider-Man: Homecoming,3,Phase 3,Infinity Saga,2017-07-05,2017,878852749,334580976,544271773,0.3807,0.6193,0.0252,0.0391,0.0655,117027503,175000000,5.02
Guardians of the Galaxy Vol 2,3,Phase 3,Infinity Saga,2017-04-28,2017,869087963,389813101,479274862,0.4485,0.5515,0.025,0.0387,0.0648,146510104,200000000,4.35
Black Panther: Wakanda Forever,4,Phase 4,Multiverse Saga,2022-11-09,2022,859208836,453829060,405379776,0.5282,0.4718,0.0247,0.0696,0.1504,181339761,250000000,3.44
Thor: Ragnarok,3,Phase 3,Infinity Saga,2017-10-25,2017,850482778,315058289,535424489,0.3704,0.6296,0.0244,0.0378,0.0634,122744989,180000000,4.72
Guardians of the Galaxy Vol 3,5,Phase 5,Multiverse Saga,2023-05-03,2023,845555777,358995815,486559962,0.4246,0.5754,0.0243,0.0685,0.2308,118414021,250000000,3.38
Guardians of the Galaxy,2,Phase 2,Infinity Saga,2014-07-31,2014,770882395,333714112,437168283,0.4329,0.5671,0.0221,0.0343,0.1466,94320883,170000000,4.53
Thor: Love and Thunder,4,Phase 4,Multiverse Saga,2022-07-01,2022,760928081,343256830,417671251,0.4511,0.5489,0.0218,0.0616,0.1332,144165107,250000000,3.04
Captain America: The Winter Soldier,2,Phase 2,Infinity Saga,2014-03-28,2014,714401889,259746958,454654931,0.3636,0.6364,0.0205,0.0318,0.1359,95023721,170000000,4.2
Doctor Strange,3,Phase 3,Infinity Saga,2016-10-24,2016,676343174,232641920,443701254,0.344,0.656,0.0194,0.0301,0.0504,85058311,165000000,4.1
Thor: The Dark World,2,Phase 2,Infinity Saga,2013-10-30,2013,644602516,206362140,438240376,0.3201,0.6799,0.0185,0.0287,0.1226,85737841,150000000,4.3
Ant-Man and the Wasp,3,Phase 3,Infinity Saga,2018-07-03,2018,623144660,216648740,406495920,0.3477,0.6523,0.0179,0.0277,0.0465,75812205,130000000,4.79
Iron Man 2,1,Phase 1,Infinity Saga,2010-04-29,2010,621156389,312433331,308723058,0.503,0.497,0.0178,0.0276,0.1632,128122480,170000000,3.65
Iron Man,1,Phase 1,Infinity Saga,2008-04-30,2008,584877827,318604126,266273701,0.5447,0.4553,0.0168,0.026,0.1536,102118668,186000000,3.14
The Fantastic Four: First Steps,6,Phase 6,Multiverse Saga,2025-07-23,2025,521858728,274286610,247572118,0.5256,0.4744,0.015,0.0422,0.1753,117644828,200000000,2.61
Ant-Man,2,Phase 2,Infinity Saga,2015-07-14,2015,518858449,180202163,338656286,0.3473,0.6527,0.0149,0.0231,0.0987,57225526,130000000,3.99
Ant-Man and the Wasp: Quantumania,5,Phase 5,Multiverse Saga,2023-02-15,2023,476071180,214504909,261566271,0.4506,0.5494,0.0137,0.0385,0.13,106109650,200000000,2.38
Thor,1,Phase 1,Infinity Saga,2011-04-29,2011,449326618,181030624,268295994,0.4029,0.5971,0.0129,0.02,0.118,65723338,150000000,3.0
Shang-Chi and the Legend of the Ten Rings,4,Phase 4,Multiverse Saga,2021-09-01,2021,432233010,224543292,207689718,0.5195,0.4805,0.0124,0.035,0.0757,75388688,150000000,2.88
Captain America: Brave New World,5,Phase 5,Multiverse Saga,2025-02-12,2025,415101577,200500001,214601576,0.483,0.517,0.0119,0.0336,0.1133,88842603,180000000,2.31
Eternals,4,Phase 4,Multiverse Saga,2021-11-03,2021,402064929,164870264,237194665,0.4101,0.5899,0.0115,0.0326,0.0704,71297219,200000000,2.01
Thunderbolts*,5,Phase 5,Multiverse Saga,2025-04-30,2025,382436917,190274328,192162589,0.4975,0.5025,0.011,0.031,0.1044,74300608,180000000,2.12
Black Widow,4,Phase 4,Multiverse Saga,2021-07-07,2021,379751131,183651655,196099476,0.4836,0.5164,0.0109,0.0307,0.0665,80366312,200000000,1.9
Captain America: The First Avenger,1,Phase 1,Infinity Saga,2011-07-22,2011,370569776,176654505,193915271,0.4767,0.5233,0.0106,0.0165,0.0973,65058524,140000000,2.65
The Incredible Hulk,1,Phase 1,Infinity Saga,2008-06-13,2008,265573859,134806913,130766946,0.5076,0.4924,0.0076,0.0118,0.0698,55414050,137500000,1.93
The Marvels,5,Phase 5,Multiverse Saga,2023-11-08,2023,206136825,84500223,121636602,0.4099,0.5901,0.0059,0.0167,0.0563,46110859,270000000,0.76
